Site,Date,Temp,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Q
금본C1,2018.06.11,21.5,7.4,185,8.2,1.8,4.6,5.1,1.301,0.075,2.9,1.996
금본D,2018.06.11,22.8,7.8,157,8.9,0.8,4.3,3.4,1.095,0.049,2.7,12.053
금본E,2018.06.11,23.9,7.9,173,10.5,0.8,3.9,3,0.825,0.049,2.7,12.186
금본F1,2018.06.11,21.9,7.3,134,8.1,0.5,2.8,0.6,1.253,0.051,1.5,0.036
금본F2,2018.06.11,23.6,8.6,376,11.9,1.1,5.1,2.3,1.222,0.069,3.5,0.17
보청A,2018.06.11,19.9,7.3,277,9.2,1.3,4.9,8.1,1.627,0.088,3.5,2.393
초강A,2018.06.11,23,8.5,208,10.8,0.8,4.8,3.6,0.657,0.066,3.3,1.177
초강A1,2018.06.11,18.3,7.2,203,7.7,0.9,5.1,2.6,1.406,0.068,3.1,0.012
금본F,2018.06.14,8.4,7.1,186,9.7,0.7,3.6,1.2,1.554,0.024,2.7,56.998
금본F,2018.06.19,8.5,7.1,187,9.6,1.1,3.7,1.4,2.458,0.013,3.3,59.264
금본A,2018.06.21,21.6,8,230,10.7,1,4.9,3.6,2.308,0.065,3.3,2.545
금본B,2018.06.21,15.9,6.8,137,10.4,0.8,3.4,1.3,1.751,0.008,2.2,8.922
금본B1,2018.06.21,17.9,7.2,207,10.1,1.2,5.2,5.9,1.773,0.036,2.5,0.862
금본B2,2018.06.21,22.3,7.6,98,8.9,1.1,4.3,3.5,1.3,0.019,1.7,0.608
금본C,2018.06.21,22.7,8.3,146,9.5,1,4.8,7.7,1.43,0.035,3.1,4.62
금본C1,2018.06.21,24.3,7.7,204,9.9,2.3,6,5.1,1.284,0.089,2.9,1.963
금본D,2018.06.21,24.1,7.1,157,8.2,1,4,2.7,1.105,0.021,2.3,10.648
금본E,2018.06.21,25.8,7.8,175,10.2,1.1,4,1.2,0.8,0.02,2.8,12.816
금본F1,2018.06.21,25.5,7.4,138,8,0.8,3.7,1.2,1.25,0.02,1.3,0.02
금본F2,2018.06.21,30.2,8.4,349,13.4,3.1,6.5,2.5,1.184,0.046,3.8,0.078
보청A,2018.06.21,22.4,7.3,298,9.1,1.3,5.2,9.9,1.663,0.05,3.6,2.324
초강A,2018.06.21,26,8.3,214,10.6,1,4.7,1,0.51,0.024,3.3,1.177
초강A1,2018.06.21,,,,,,,,,,,
금본F,2018.06.25,9.6,7.2,187,9.4,0.8,3.9,0.9,1.734,0.011,2.9,55.746
금본A,2018.06.27,20.6,7.6,122,8.8,5.4,22,271.3,5.577,0.626,16.4,114.633
금본B,2018.06.27,18.1,6.3,117,8.2,1.2,5.4,19,2.867,0.077,4.3,12.691
금본B1,2018.06.27,18.2,7.3,94,9.7,3.6,15.8,130,3.48,0.239,12,44.923
금본B2,2018.06.27,20.2,7.1,83,8.5,3.6,14.4,128.5,3.562,0.273,12.8,39.324
금본C,2018.06.27,22.5,7.6,135,8.2,2,7.1,52.3,2.535,0.144,6.3,39.382
금본C1,2018.06.27,23.1,7.6,138,8.1,5.7,13.5,113.6,3.575,0.358,11.1,70.221
금본D,2018.06.27,23.3,6.8,119,7,4.7,16.7,337,3.59,0.636,13.9,121.205
금본E,2018.06.27,25.7,7.1,160,8.4,0.9,5.1,11.9,1.545,0.072,3.9,40.6
금본F1,2018.06.27,20.5,6.6,90,8.7,1.5,8.2,18.2,3.971,0.086,6.7,2.788
금본F2,2018.06.27,23.2,7.2,143,7.7,4,10.5,87.6,3.278,0.341,8.9,5.559
보청A,2018.06.27,22.3,6.7,221,6.8,4.6,12.2,121.7,3.475,0.377,10.6,61.635
초강A,2018.06.27,25.2,7,201,7.2,2.2,8.2,28.7,1.813,0.163,6.8,15.723
초강A1,2018.06.27,20.8,7.1,131,8.2,4.9,15.1,48.3,4.126,0.228,10.8,8.561
금본A,2018.07.09,20.6,7.8,171,8.8,0.6,3.4,5.4,4.31,0.049,2.5,2.548
금본B,2018.07.09,14.3,7.3,133,9.8,0.6,3.4,1.5,2.009,0.015,2.4,9.441
금본B1,2018.07.09,17.6,7.9,106,9.2,0.6,4.2,7.8,2.12,0.027,2.8,3.193
금본B2,2018.07.09,19.6,7.2,129,9.3,0.6,3.3,2.2,2.544,0.015,1.8,2.997
금본C,2018.07.09,21.3,7.5,129,9.2,0.6,3.6,2.4,2.14,0.029,2.4,16.264
금본C1,2018.07.09,20.7,7.4,125,9.3,0.7,4.6,4.4,2.378,0.042,2.7,10.963
금본D,2018.07.09,21.5,7.8,147,9.8,0.5,3.9,8.5,2.337,0.041,2.4,26.344
금본E,2018.07.09,21.1,7.4,154,7.8,0.7,4.3,7.8,2.536,0.049,2.8,42.814
금본F1,2018.07.09,17.9,7.1,98,9.6,0.8,5,17.1,2.906,0.082,3.3,1.488
금본F2,2018.07.09,18.9,7.4,227,9.6,0.8,5,13,3.089,0.076,3.1,4.422
보청A,2018.07.09,19.6,7,238,8.8,0.6,3.6,10.6,3.008,0.06,2.6,9.137
초강A,2018.07.09,20.8,7.3,149,8.2,0.9,4.5,6.3,3.099,0.044,3.2,9.25
초강A1,2018.07.09,18.4,6.9,169,8.5,0.5,4.7,4,3.091,0.027,2.7,0.845
금본F,2018.07.10,14.5,7,178,7.7,0.5,4,4.8,2.14,0.012,2.9,58.026
금본F,2018.07.16,15.1,7.1,174,5.3,0.7,4.2,0.4,2.042,0.018,3,16.64
금본A,2018.07.19,29.3,8.7,219,10.3,0.8,4.1,2.8,2.263,0.053,2.3,2.569
금본B,2018.07.19,18.2,7.3,134,10.9,0.5,3.4,1.2,1.699,0.031,1.9,9.254
금본B1,2018.07.19,25,7.9,170,8.6,0.7,4.2,4,1.517,0.041,2.1,0.95
금본B2,2018.07.19,27,7.5,101,8.3,0.5,3.5,3.3,1.603,0.037,1.8,0.553
금본C,2018.07.19,28.6,7.8,143,9.3,0.9,4,2.8,1.102,0.039,2.2,5.361
금본C1,2018.07.19,20.9,7.9,187,9.6,0.9,4.6,3.3,1.233,0.056,2.4,2.783
금본D,2018.07.19,30.3,7.8,161,8.3,0.9,3.9,3.4,1.149,0.046,2.4,12.784
금본E,2018.07.19,32.1,8.5,176,10.6,0.8,4.2,2.9,0.7,0.049,2.4,16.188
금본F1,2018.07.19,27.9,7.5,140,8.8,0.6,3,0.7,2.468,0.031,1.7,0.086
금본F2,2018.07.19,27.3,7.9,375,9.4,0.9,4.1,6.9,2.006,0.072,2.4,0.047
보청A,2018.07.19,28.4,7.6,263,9.6,0.7,4.2,6.9,1.665,0.065,2.3,2.734
초강A,2018.07.19,32.3,8.8,192,9,0.8,4.6,1.9,0.643,0.047,2.6,1.55
초강A1,2018.07.19,23.7,7.3,200,9.7,0.6,4.1,4.2,0.975,0.04,2.1,0.034
금본A,2018.07.24,31.3,8.9,223,9.4,1.3,4.5,4.1,1.862,0.049,3,2.545
금본B,2018.07.24,17.1,7,132,12.5,0.9,3.2,0.7,1.787,0.017,2.4,9.09
금본B1,2018.07.24,25.7,7.3,176,9.2,1.2,4.4,4.5,1.477,0.037,2.8,0.598
금본B2,2018.07.24,28,7.1,117,9.2,0.9,3.2,2.4,1.577,0.022,1.9,0.454
금본C,2018.07.24,29.1,8.7,143,9.8,1.1,3.8,1.5,1.179,0.023,2.6,4.984
금본C1,2018.07.24,30.9,8.1,227,9.1,1.5,5.2,3,1.299,0.149,3.1,1.96
금본D,2018.07.24,31,7.8,158,8.2,1.4,3.9,1.5,0.813,0.026,2.7,11.78
금본E,2018.07.24,33,8.6,173,10.6,1.1,4.2,1.3,0.352,0.028,3,14.795
금본F1,2018.07.24,30,7.5,145,9.7,1.1,2.8,1.9,1.898,0.025,1.8,0.069
금본F2,2018.07.24,29.7,8.1,401,9.6,1.4,4.1,4.3,1.543,0.054,2.9,0.033
보청A,2018.07.24,29.9,7.5,261,9.6,1.4,4,3.8,1.36,0.05,2.7,1.501
초강A,2018.07.24,33.1,8.9,197,11.8,1.4,4.4,1.7,0.464,0.033,3.1,0.776
초강A1,2018.07.24,23.9,7.3,206,10.8,1,3.6,1.3,1.105,0.03,2.2,0.014
금본F,2018.07.25,15,6.9,173,6.5,1,4.5,2.4,2.394,0.027,4.1,12.604
금본A,2018.08.06,29.3,8.4,236,9,1,4.4,5.1,2.399,0.06,2.7,1.826
금본B,2018.08.06,17,7.2,128,12.8,0.7,3.2,1.3,1.755,0.012,2.3,7.135
금본B1,2018.08.06,26,7.6,188,8.1,1.1,3.9,3.7,1.369,0.04,2.2,0.54
금본B2,2018.08.06,27.7,7.1,238,8.5,0.9,3.4,1.6,1.352,0.019,1.8,0.227
금본C,2018.08.06,27.4,8.3,139,8.9,0.7,3.7,2.4,1.147,0.02,2.5,6.571
금본C1,2018.08.06,28.6,7.7,212,9.7,1.4,4.9,3.3,0.792,0.048,2.7,1.224
금본D,2018.08.06,29.6,8.3,156,7.3,0.8,4,2.6,0.826,0.018,2.5,11.219
금본E,2018.08.06,31.5,8.3,171,9.1,0.9,4.3,2.1,0.259,0.019,2.6,11.571
금본F1,2018.08.06,30.7,8,153,10.8,0.9,3.4,0.9,0.689,0.028,2.1,0.022
금본F2,2018.08.06,30.8,8.4,404,13.6,1,4.4,1.8,0.859,0.047,2.6,0.108
보청A,2018.08.06,28.7,7.6,279,9.9,0.9,4,5.6,1.6,0.048,2.9,1.388
초강A,2018.08.06,30.1,8.5,225,11,1.2,3.9,1.9,0.684,0.021,2.7,0.181
초강A1,2018.08.06,,,,,,,,,,,
금본F,2018.08.07,15.6,7.3,169,4.5,0.7,4.1,1.6,2.025,0.017,2.9,25.858
금본F,2018.08.20,16.4,7.4,162,4.8,0.5,4.2,1,1.99,0.017,2.7,25.313
금본A,2018.08.23,26.1,7.3,230,7.4,0.8,4.1,4.8,1.651,0.039,2.2,2.527
금본B,2018.08.23,19.2,7.3,127,9.1,0.5,3.4,0.6,1.825,0.003,1.8,9.711
금본B1,2018.08.23,23.9,7.2,231,7.6,1.1,4.4,5.3,1.262,0.038,2.5,0.92
금본B2,2018.08.23,26.9,7.2,130,7,0.6,3.2,1.9,0.794,0.01,1.4,0.291
금본C,2018.08.23,25.8,8.3,136,7.4,0.5,4.1,1.6,1.271,0.008,2,6.155
금본C1,2018.08.23,26.3,8,235,7.1,1.5,5.3,4,0.901,0.049,3.1,1.729
금본D,2018.08.23,27.4,7.9,149,7.5,0.5,3.9,1.8,0.937,0.011,2,11.192
금본E,2018.08.23,28.2,8.1,243,9.7,0.5,3.9,2.1,0.389,0.011,2.2,12.186
금본F1,2018.08.23,,,,,,,,,,,
금본F2,2018.08.23,28.1,8.5,386,10.7,0.9,3.8,1.8,0.608,0.03,2.1,0.1
보청A,2018.08.23,25.5,7.5,318,8.3,1.3,5,4,0.663,0.042,2.8,4.642
초강A,2018.08.23,28.4,7.9,167,7.8,0.8,4.1,1.6,0.368,0.014,2.5,0.356
초강A1,2018.08.23,,,,,,,,,,,
금본A,2018.08.28,22.7,6.5,124,6.9,0.5,5.4,18,2.998,0.113,3.7,94.634
금본B,2018.08.28,19.4,6.4,111,8.7,0.5,3.6,3.3,2.321,0.015,2.3,10.598
금본B1,2018.08.28,20.4,7.4,82,8.8,0.8,5,5.8,2.073,0.044,3,22.374
금본B2,2018.08.28,21.3,7.1,91,9,0.8,3.6,3.6,2.879,0.02,2,18.151
금본C,2018.08.28,20.8,7.6,93,8.6,0.5,5,5.8,2.489,0.041,3.7,152.183
금본C1,2018.08.28,20.9,7.7,86,8.6,0.9,5,5.1,2.217,0.039,3.1,87.698
금본D,2018.08.28,20.5,7.4,97,8.5,0.5,5.8,12.7,2.474,0.063,4.1,307.815
금본E,2018.08.28,20.8,7.4,96,7.9,0.9,6.9,22,2.719,0.076,4.8,394.005
금본F1,2018.08.28,21.8,6.9,94,8.8,0.9,4.6,3.3,3.055,0.034,3.1,3.5
금본F2,2018.08.28,22.4,7.5,229,8.1,1,5.6,9,3.132,0.089,3.5,6.588
보청A,2018.08.28,20.8,6.9,146,7.7,1.2,7.6,33.3,2.95,0.21,5.7,109.466
초강A,2018.08.28,21,6.9,109,8.4,0.5,6.8,16,3.067,0.083,4.8,103.363
초강A1,2018.08.28,19.9,7,120,8.6,1.3,7,3.3,3.202,0.05,4.7,7.347
금본F,2018.08.29,16.5,7.1,164,4.2,0.7,4,2.4,2.448,0.012,2.7,235.814
금본A,2018.09.03,20.8,7.5,135,9.6,0.5,3.6,1.9,2.994,0.048,2.1,20.554
금본B,2018.09.03,17.9,7,122,9.3,0.5,3.9,1.1,2.041,0.019,2.3,11.137
금본B1,2018.09.03,19.8,7.8,114,9.6,0.5,3.5,2.1,2.141,0.027,2.4,4.914
금본B2,2018.09.03,20.8,7.2,98,9.5,0.5,2.7,1,2.68,0.008,1.4,4.057
금본C,2018.09.03,21.4,7.6,117,8.4,0.5,3.6,1.6,2.143,0.029,2.2,24.992
금본C1,2018.09.03,22.1,7.8,120,8.5,0.8,4,5.5,2.221,0.032,2.5,26.561
금본D,2018.09.03,21.5,7.5,129,8.4,0.6,3.8,3.7,2.361,0.04,2.4,67.96
금본E,2018.09.03,22.6,7.3,133,8.6,0.5,4.4,6.4,2.523,0.054,2.8,84.066
금본F1,2018.09.03,22.4,7.1,116,8.6,0.6,3.4,0.4,3.214,0.022,2.1,1.918
금본F2,2018.09.03,22.2,7.6,304,8.4,0.7,4,2.3,3.392,0.059,2.4,2.26
보청A,2018.09.03,20.8,6.8,199,9.2,0.5,3.9,7.5,3.066,0.054,2.7,21.331
초강A,2018.09.03,22.4,7,139,9.5,0.7,4.1,2.6,2.8,0.046,2.8,24.19
초강A1,2018.09.03,20,7.2,152,8.7,0.6,4.3,1,3.175,0.024,2.6,1.594
금본F,2018.09.04,21.9,7.3,143,9.9,0.7,5.7,5,1.702,0.023,3.1,482.228
금본F,2018.09.10,19.6,7.3,130,5,1.1,5.2,4.4,1.793,0.062,3.2,145.353
금본A,2018.09.13,19.8,8.2,167,10.2,1,3.1,1,2.788,0.02,1.7,7.338
금본B,2018.09.13,17.2,7,115,8.5,0.8,3.8,1.6,1.918,0.02,2.3,8.327
금본B1,2018.09.13,17.9,8,155,10.1,0.5,3.4,1.1,2.042,0.01,1.8,1.875
금본B2,2018.09.13,20.2,7.2,113,9.1,0.7,2.9,0.9,2.057,0.015,1.4,0.728
금본C,2018.09.13,20.6,7.5,136,8.7,1.2,3.4,2,1.721,0.02,2.3,7.898
금본C1,2018.09.13,20.6,7.4,169,8.6,1.2,3.7,1.9,1.784,0.015,2.2,5.106
금본D,2018.09.13,21.8,7.9,159,8.9,1.1,3.5,1.7,1.838,0.017,2,17.182
금본E,2018.09.13,22.2,7.8,179,10.2,1.1,3.5,2.1,2.108,0.017,2,23.175
금본F1,2018.09.13,20.4,7.1,117,10.4,0.6,3.2,0.4,1.896,0.012,1.8,0.129
금본F2,2018.09.13,20.6,7.5,390,9.8,0.7,3.3,1,2.765,0.037,1.8,0.598
보청A,2018.09.13,19.2,7.5,199,9,1.1,3.1,2.5,2.638,0.033,2,5.467
초강A,2018.09.13,21.6,8,187,10.6,1.4,3.7,1.4,1.836,0.013,2.3,4.778
초강A1,2018.09.13,18.8,7.8,122,8.6,0.8,3.6,1.4,2.045,0.016,2.1,0.337
금본A,2018.10.02,17.2,8.9,183,11.6,0.7,3.7,3.9,2.829,0.043,1.8,4.951
금본B,2018.10.02,18,7.4,111,11.2,0.6,4.4,1.8,1.587,0.02,2.4,7.727
금본B1,2018.10.02,15.1,8.3,197,10.9,0.7,3.3,1.2,2.446,0.007,1.7,0.841
금본B2,2018.10.02,16.4,7.5,122,10.1,0.7,2.4,0.8,1.643,0.028,1.5,0.454
금본C,2018.10.02,18.8,8.2,128,11.5,0.5,4,2,1.376,0.073,2.5,4.62
금본C1,2018.10.02,17.8,8,159,11.2,0.8,3.3,1.9,1.62,0.008,1.8,2.974
금본D,2018.10.02,18.1,7.8,153,9.8,0.5,3.9,1.6,1.386,0.019,2.3,11.684
금본E,2018.10.02,19.3,7.7,169,10.7,0.6,3.5,1.3,1.337,0.011,2.1,16.188
금본F1,2018.10.02,18.5,7.3,118,10.5,0.7,2.7,1.3,1.513,0.019,1.6,0.048
금본F2,2018.10.02,18.9,8.3,381,14,1.1,3,1.7,2.99,0.007,1.9,0.336
보청A,2018.10.02,17,7.5,322,12.9,0.5,2.9,1.6,2.242,0.028,1.7,3.322
초강A,2018.10.02,18.8,7.8,187,9.9,0.5,3.9,1.1,1.502,0.072,2.3,2.689
초강A1,2018.10.02,15.1,7.7,178,11.8,0.7,2.8,1.1,1.311,0.024,1.6,0.152
금본F,2018.10.04,19.7,7.8,134,4.9,0.7,5.1,2.2,2.007,0.046,4.4,76.693
금본A,2018.10.08,15.7,7.7,117,10.8,0.7,3.5,2.4,2.097,0.076,2.2,17.264
금본B,2018.10.08,16.9,7.6,104,9,0.8,4.1,1.7,1.511,0.019,2.7,10.061
금본B1,2018.10.08,14.9,7.4,87,10.7,0.7,4.1,3.9,1.348,0.053,2.1,6.434
금본B2,2018.10.08,16.2,7.6,98,10.1,0.5,4,1.3,1.894,0.016,1.5,3.159
금본C,2018.10.08,17,7.6,89,10.1,0.9,4,2.5,1.509,0.049,2.6,54.509
금본C1,2018.10.08,16.5,7.6,97,10.1,0.7,4.2,1.7,1.456,0.059,2.4,37.819
금본D,2018.10.08,17.3,8,94,9.7,0.7,4.2,2.9,1.538,0.036,2.7,96.053
금본E,2018.10.08,17.7,7.5,97,9.8,0.6,4.6,5.1,1.673,0.043,3,139.923
금본F1,2018.10.08,18.2,7.8,86,9.3,0.5,3.3,0.7,1.818,0.05,2.3,0.266
금본F2,2018.10.08,17.2,7.8,259,10.4,0.6,3.6,2.2,2.243,0.052,2.1,1.775
보청A,2018.10.08,15.8,7.4,168,10.6,0.7,4,3.8,1.847,0.09,2.6,17.101
초강A,2018.10.08,17.6,7.3,100,9.8,0.6,4.5,4.6,1.699,0.072,2.9,54.36
초강A1,2018.10.08,14.3,7.6,113,10.3,0.6,4.5,1.5,1.705,0.031,2.5,2.837
금본F,2018.10.10,19.3,7.7,134,5.1,1,4.7,2.2,1.854,0.067,3.2,222.473
금본F,2018.10.15,19,7.8,137,5.1,1,5.3,3.1,1.671,0.035,2.9,12.4
금본A,2018.10.18,13.6,8,173,11.7,0.5,3.1,1.4,3.119,0.02,1.7,5.139
금본B,2018.10.18,16.6,7.8,107,10.4,0.7,3.9,1.3,1.612,0.014,2.6,7.998
금본B1,2018.10.18,11.2,8.6,167,12,0.5,2.7,1.7,2.577,0.008,1.5,1.319
금본B2,2018.10.18,13.1,7.7,112,10.7,0.5,2.4,0.6,1.85,0.004,1.4,0.553
금본C,2018.10.18,15.2,7.8,124,11,1,3.5,1.8,1.615,0.01,2.3,6.155
금본C1,2018.10.18,13.6,7.8,160,11.4,0.7,3.1,0.5,2.12,0.007,1.5,4.144
금본D,2018.10.18,14.7,7.8,144,10.7,0.8,3.3,1.2,1.723,0.009,1.9,17.111
금본E,2018.10.18,15.3,7.8,153,11.5,0.9,2.9,0.8,1.997,0.008,2,19.925
금본F1,2018.10.18,14.5,7.6,111,11,0.5,2.2,0.8,2.19,0.005,1.3,0.073
금본F2,2018.10.18,14.1,7.8,372,10.5,0.6,3.1,1.9,2.878,0.023,1.8,0.463
보청A,2018.10.18,14.3,7.8,278,11.9,0.6,3.1,1,2.213,0.012,1.7,3.719
초강A,2018.10.18,14.7,7.9,174,10.5,0.8,2.7,0.8,2.332,0.01,1.7,4.275
초강A1,2018.10.18,11.5,7.6,159,12.5,0.5,3,3.7,1.95,0.007,1.6,0.291
금본A,2018.10.22,13,8.7,177,12.8,0.5,2.6,0.8,3.315,0.021,1.4,4.209
금본B,2018.10.22,16.3,7.4,107,11.5,0.6,4.2,1.4,1.797,0.02,2.4,9.207
금본B1,2018.10.22,11.2,8.5,170,11.8,0.5,2.4,0.4,2.895,0.014,1.3,1.072
금본B2,2018.10.22,13.1,7.7,116,11,0.5,2.4,0.9,2.051,0.013,1.3,0.409
금본C,2018.10.22,15.1,8.2,124,10,0.7,3.8,0.9,1.713,0.014,2.1,6.571
금본C1,2018.10.22,13.5,7.8,182,10.6,0.7,2.7,2,2.344,0.017,1.6,3.505
금본D,2018.10.22,14.5,7.7,148,11.1,0.6,3.4,1.2,1.922,0.018,2,15.482
금본E,2018.10.22,15.1,7.6,166,12.6,0.6,3,0.7,2.11,0.012,1.8,16.906
금본F1,2018.10.22,14.4,8,111,11.3,0.5,2.1,0.2,2.289,0.017,1.1,0.081
금본F2,2018.10.22,14.4,7.9,363,10.3,0.8,2.9,2.1,2.91,0.028,1.7,0.471
보청A,2018.10.22,14.1,8,292,12,0.5,2.6,0.9,2.465,0.021,1.6,2.796
초강A,2018.10.22,14.1,8,184,11.5,0.5,2.7,1.3,2.508,0.012,1.9,2.899
초강A1,2018.10.22,12,8.1,158,12.3,0.5,2.6,0.8,2.044,0.018,1.4,0.202
금본F,2018.10.23,18.6,7.2,127,5.8,0.8,4.9,2.7,1.715,0.05,3.1,10.731
금본F,2018.10.29,18,7.5,127,5.2,0.5,5.4,1.4,1.794,0.039,2.9,12.673
금본A,2018.11.01,9.7,8.1,188,12.1,0.5,2.9,0.9,3.314,0.017,1.6,3.996
금본B,2018.11.01,14.1,7.7,104,11.2,0.9,4.5,2.8,1.406,0.016,2.9,9.473
금본B1,2018.11.01,7.7,8.1,201,12.4,0.5,2.4,0.6,2.405,0.01,1.3,1.109
금본B2,2018.11.01,10.1,7.8,111,12.5,0.5,2.1,0.5,1.609,0.004,1.2,0.454
금본C,2018.11.01,12,8.3,125,10.6,0.7,3.8,1.8,1.475,0.015,2.3,6.571
금본C1,2018.11.01,12,8.3,125,10.6,0.6,2.3,0.6,2.106,0.022,1.4,3.287
금본D,2018.11.01,10.8,7.7,152,12.4,0.5,3.3,0.7,1.675,0.015,2.2,14.694
금본E,2018.11.01,11.3,7.7,169,13.7,0.7,3.3,0.5,1.778,0.007,1.9,16.906
금본F1,2018.11.01,14.5,7.6,108,13,0.5,1.5,0.1,1.785,0.013,1.5,0.088
금본F2,2018.11.01,10.4,8,352,12.1,0.9,3.1,1.6,3.981,0.053,2,0.839
보청A,2018.11.01,10.5,7.8,202,12.5,0.6,2.8,0.9,1.646,0.022,2,5.198
초강A,2018.11.01,10.5,8,193,12,0.5,2.9,0.6,2.157,0.014,2.1,2.445
초강A1,2018.11.01,7.8,7.7,160,13.2,0.5,2.1,1.2,1.748,0.012,1.6,0.206
금본A,2018.11.13,10.1,8.1,167,12.6,0.5,2.7,1,2.725,0.028,1.6,5.192
금본B,2018.11.13,13.6,7.6,110,10.2,0.6,3.9,1,1.433,0.011,2.4,10.333
금본B1,2018.11.13,7.7,7.8,172,12.6,0.5,2.1,1.1,1.965,0.019,1.4,1.315
금본B2,2018.11.13,10.3,7.7,117,11.6,0.5,1.8,0.7,1.882,0.005,1,1.011
금본C,2018.11.13,11.9,8.2,122,11.6,0.5,3.6,1.3,1.483,0.009,2.4,6.571
금본C1,2018.11.13,9.9,8.2,127,13.4,0.6,2.6,0.8,1.647,0.013,1.4,4.079
금본D,2018.11.13,11,8,146,11.4,0.6,3.3,1.8,1.773,0.037,2,17.412
금본E,2018.11.13,11.5,7.8,164,12.9,0.6,3.5,0.7,1.903,0.01,2,21.521
금본F1,2018.11.13,10.8,7.6,90,11.8,0.5,1.8,0.3,1.948,0.05,1.1,0.341
금본F2,2018.11.13,9.9,8.2,151,11.7,1.6,3.9,1.1,3.717,0.03,3.1,1.25
보청A,2018.11.13,11,7.6,191,12.8,0.6,2.9,2.3,2.329,0.022,1.8,6.481
초강A,2018.11.13,11.4,7.9,180,11.2,0.7,4.7,1.5,2.074,0.014,2.6,3.147
초강A1,2018.11.13,9.2,7.9,152,13.8,0.6,2.6,9.5,1.501,0.03,1.6,0.3
금본F,2018.11.14,15.9,7.7,141,7.4,0.8,5,2.8,1.725,0.025,3,12.423
금본A,2018.11.19,7.7,8.4,201,14,0.6,2.6,0.9,2.939,0.019,1.4,4.067
금본B,2018.11.19,13.1,8,112,11.7,0.5,4.2,1.1,1.382,0.019,2.3,10.833
금본B1,2018.11.19,6.1,8.4,199,13.5,0.4,2,0.5,2.426,0.02,1,1.072
금본B2,2018.11.19,7.6,7.9,119,12.5,0.6,1.6,0.4,1.89,0.017,0.7,0.553
금본C,2018.11.19,9.9,8.5,124,12.6,0.8,3.6,1.2,1.437,0.017,2,6.571
금본C1,2018.11.19,8.4,8.5,154,13.1,0.5,2.6,0.8,2.2,0.021,1.2,3.093
금본D,2018.11.19,8.3,7.9,154,12.6,0.9,3.7,1.4,1.699,0.021,1.9,13.732
금본E,2018.11.19,8.9,7.8,162,13.7,0.5,3.1,0.7,1.717,0.018,1.6,17.639
금본F1,2018.11.19,9.2,7.8,104,12.7,0.4,1.4,0.1,1.891,0.021,1,0.138
금본F2,2018.11.19,9.2,8,331,13.2,0.5,1.7,0.8,4.479,0.023,1,1.229
보청A,2018.11.19,8.5,7.9,280,13.2,0.5,2.7,1.1,2.208,0.024,1.3,3.578
초강A,2018.11.19,8.2,8,189,12.5,0.7,3,1.1,1.742,0.019,1.7,2.04
초강A1,2018.11.19,6.6,8.1,153,13.8,0.6,2.1,4.5,1.506,0.021,1.1,0.168
금본F,2018.11.20,15.4,8.3,144,6.5,0.9,4.7,2.1,1.51,0.021,2.7,12.602
금본F,2018.11.26,14.6,7.5,138,8.1,0.7,4.9,3,1.483,0.02,3,12.589
금본A,2018.11.29,5,8.1,209,14.6,0.5,2.7,1.2,3.339,0.024,1.6,3.349
금본B,2018.11.29,10.7,8,113,10.5,0.5,3.9,0.6,1.405,0.025,2.4,11.054
금본B1,2018.11.29,3.6,8.3,284,14.3,0.3,2,0.8,2.811,0.028,1.2,0.773
금본B2,2018.11.29,7.6,7.9,119,12.5,0.3,1.4,0.5,1.939,0.026,1,0.328
금본C,2018.11.29,8.1,8.2,127,12.6,0.6,3.7,1.5,1.488,0.025,2.1,5.361
금본C1,2018.11.29,5.5,8.1,163,14.1,0.7,2.2,0.5,2.351,0.03,1.4,2.475
금본D,2018.11.29,6.6,7.9,159,12.8,0.7,3.6,1.1,1.815,0.026,1.8,13.878
금본E,2018.11.29,6.3,7.9,179,13.5,1,3.4,0.6,1.889,0.027,1.9,15.484
금본F1,2018.11.29,6.3,7.5,99,13.5,0.3,1.3,0.2,1.943,0.024,0.9,0.086
금본F2,2018.11.29,6.4,8.3,337,14.1,0.5,1.7,1.2,4.932,0.029,1,1.299
보청A,2018.11.29,6.2,8.1,309,12,0.7,2.7,1.4,2.45,0.034,1.4,2.647
초강A,2018.11.29,5.5,8,210,13.6,0.7,3.1,0.7,2.074,0.027,1.6,1.521
초강A1,2018.11.29,4.1,8,143,12.2,0.3,2,0.3,1.414,0.027,1.4,0.208
금본A,2018.12.04,10.4,7.6,201,12,1.3,3.8,3.5,3.464,0.024,2.2,4.869
금본B,2018.12.04,12.8,7.4,115,9.5,0.5,4,1.4,1.658,0.026,2.4,11.571
금본B1,2018.12.04,11.3,7.6,198,10.7,5.4,9.2,41,2.979,0.083,7.2,5.395
금본B2,2018.12.04,11.5,7.6,111,10.8,0.6,2.2,0.9,2.157,0.02,1.3,0.502
금본C,2018.12.04,10.7,7.9,128,11.8,0.8,3,1.2,2.623,0.028,1.8,6.571
금본C1,2018.12.04,9.7,8,162,12.2,1.2,3,0.9,2.578,0.029,1.8,4.063
금본D,2018.12.04,9.8,7.4,155,12,0.8,3.8,2.3,2.15,0.027,2.2,19.831
금본E,2018.12.04,8.9,7.2,173,13.5,0.7,3.3,0.4,2.527,0.026,1.9,17.639
금본F1,2018.12.04,10.4,7.3,95,12.2,0.7,3.7,4.5,1.921,0.034,2.2,0.605
